Rok,Příjemce,Převod z výnosů daní,Převod sankcí ochrana životního prostředí,Převod odvodů za porušení rozpočtové kázně,,,,,,,,,,,,,,,,
2001,Obce,76080.17,139.05,-,,,,,,,,,,,,,,,,
2001,Kraje,-,0,-,,,,,,,,,,,,,,,,
2001,SFŽP,-,1391.73,8.66,,,,,,,,,,,,,,,,
2001,Ostatní státní fondy,-,-,-,,,,,,,,,,,,,,,,
2001,Národní fond,-,-,-,,,,,,,,,,,,,,,,
2001,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2001,SFDI ,-,-,-,,,,,,,,,,,,,,,,
2001,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2002,Obce,85549.19,169.65,-,,,,,,,,,,,,,,,,
2002,Kraje,10422.90,0,-,,,,,,,,,,,,,,,,
2002,SFŽP,-,1406.43,10.18,,,,,,,,,,,,,,,,
2002,Ostatní státní fondy,-,-,1.10,,,,,,,,,,,,,,,,
2002,Národní fond,-,-,-,,,,,,,,,,,,,,,,
2002,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2002,SFDI ,-,-,-,,,,,,,,,,,,,,,,
2002,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2003,Obce,91695.68,159.84,-,,,,,,,,,,,,,,,,
2003,Kraje,11951.83,0.01,-,,,,,,,,,,,,,,,,
2003,SFŽP,-,1118.51,19.75,,,,,,,,,,,,,,,,
2003,Ostatní státní fondy,-,-,28.23,,,,,,,,,,,,,,,,
2003,Národní fond,-,-,-,,,,,,,,,,,,,,,,
2003,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2003,SFDI ,-,-,-,,,,,,,,,,,,,,,,
2003,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2004,Obce,99497.22,141.05,-,,,,,,,,,,,,,,,,
2004,Kraje,12993.76,487.15,-,,,,,,,,,,,,,,,,
2004,SFŽP,-,1496.25,29.09,,,,,,,,,,,,,,,,
2004,Ostatní státní fondy,-,-,10.88,,,,,,,,,,,,,,,,
2004,Národní fond,-,-,3.64,,,,,,,,,,,,,,,,
2004,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2004,SFDI ,-,-,-,,,,,,,,,,,,,,,,
2004,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2005,Obce,110711.69,180.60,-,,,,,,,,,,,,,,,,
2005,Kraje,40630.40,467.40,-,,,,,,,,,,,,,,,,
2005,SFŽP,-,1712.73,39.75,,,,,,,,,,,,,,,,
2005,Ostatní státní fondy,-,-,27.62,,,,,,,,,,,,,,,,
2005,Národní fond,-,-,2.08,,,,,,,,,,,,,,,,
2005,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2005,SFDI ,-,-,-,,,,,,,,,,,,,,,,
2005,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2006,Obce,111498.00,65.11,-,,,,,,,,,,,,,,,,
2006,Kraje,43353.45,85.85,-,,,,,,,,,,,,,,,,
2006,SFŽP,-,428.53,30.65,,,,,,,,,,,,,,,,
2006,Ostatní státní fondy,-,-,12.74,,,,,,,,,,,,,,,,
2006,Národní fond,-,-,1.63,,,,,,,,,,,,,,,,
2006,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2006,SFDI ,-,-,-,,,,,,,,,,,,,,,,
2006,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2007,Obce,120633.81,6.31,-,,,,,,,,,,,,,,,,
2007,Kraje,47280.41,0.35,-,,,,,,,,,,,,,,,,
2007,SFŽP,-,14.18,27.39,,,,,,,,,,,,,,,,
2007,Ostatní státní fondy,-,-,25.87,,,,,,,,,,,,,,,,
2007,Národní fond,-,-,3.40,,,,,,,,,,,,,,,,
2007,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2007,SFDI ,-,-,-,,,,,,,,,,,,,,,,
2007,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2008,Obce,136112.20,2.34,-,,,,,,,,,,,,,,,,
2008,Kraje,50856.91,0.07,-,,,,,,,,,,,,,,,,
2008,SFŽP,-,11.22,18.80,,,,,,,,,,,,,,,,
2008,Ostatní státní fondy,-,-,14.74,,,,,,,,,,,,,,,,
2008,Národní fond,-,-,15.75,,,,,,,,,,,,,,,,
2008,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2008,SFDI ,-,-,-,,,,,,,,,,,,,,,,
2008,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2009,Obce,117077.50,1.55,-,,,,,,,,,,,,,,,,
2009,Kraje,44885.19,0,-,,,,,,,,,,,,,,,,
2009,SFŽP,-,3.24,14.14,,,,,,,,,,,,,,,,
2009,Ostatní státní fondy,-,-,18.93,,,,,,,,,,,,,,,,
2009,Národní fond,-,-,21.21,,,,,,,,,,,,,,,,
2009,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2009,SFDI ,-,-,-,,,,,,,,,,,,,,,,
2009,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2010,Obce,124486.82,0.71,-,,,,,,,,,,,,,,,,
2010,Kraje,46210.83,0.04,-,,,,,,,,,,,,,,,,
2010,SFŽP,-,1.44,8.37,,,,,,,,,,,,,,,,
2010,Ostatní státní fondy,-,-,38.02,,,,,,,,,,,,,,,,
2010,Národní fond,-,-,21.42,,,,,,,,,,,,,,,,
2010,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
